followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week,cluster
1600.0,1031.0,84.0,0.0,0.0,1986.0,8.0,1.0,606.0,,14.0,1.0,0
1600.0,1031.0,111.0,0.0,0.0,1033.0,5.0,1.0,606.0,,14.0,0.0,0
1600.0,1031.0,97.0,1.0,0.0,2375.0,7.0,1.0,606.0,,11.0,4.0,0
1600.0,1031.0,107.0,1.0,0.0,1792.0,5.0,1.0,606.0,,9.0,3.0,0
1600.0,1031.0,86.0,0.0,0.0,855.0,5.0,1.0,606.0,,10.0,2.0,0
1600.0,1031.0,87.0,3.0,0.0,2608.0,5.0,1.0,606.0,,11.0,1.0,0
1600.0,1031.0,96.0,1.0,0.0,1538.0,6.0,1.0,606.0,,12.0,0.0,0
1600.0,1031.0,84.0,0.0,0.0,2914.0,7.0,1.0,606.0,,11.0,3.0,0
1600.0,1031.0,98.0,1.0,0.0,1730.0,12.0,1.0,606.0,,12.0,1.0,0
1600.0,1031.0,83.0,0.0,0.0,3058.0,14.0,1.0,606.0,,13.0,4.0,0
452.0,156.0,10.0,0.0,0.0,436.0,30.0,1.0,418.0,Software,20.0,6.0,0
452.0,156.0,92.0,1.0,0.0,418.0,30.0,1.0,418.0,Software,16.0,4.0,0
452.0,156.0,10.0,0.0,0.0,277.0,30.0,1.0,418.0,Software,13.0,2.0,0
452.0,156.0,140.0,2.0,0.0,277.0,30.0,1.0,418.0,Software,16.0,1.0,0
528.0,156.0,17.0,1.0,0.0,365.0,14.0,0.0,418.0,edu,2.0,1.0,0
452.0,156.0,13.0,0.0,0.0,365.0,30.0,1.0,418.0,Software,16.0,0.0,0
452.0,156.0,6.0,0.0,0.0,505.0,30.0,1.0,418.0,Software,3.0,0.0,0
452.0,156.0,12.0,2.0,0.0,394.0,30.0,1.0,418.0,Software,15.0,6.0,0
452.0,156.0,19.0,0.0,0.0,365.0,30.0,1.0,418.0,Software,17.0,5.0,0
452.0,156.0,21.0,0.0,0.0,321.0,30.0,1.0,418.0,Software,4.0,5.0,0
452.0,156.0,66.0,6.0,868.0,277.0,30.0,0.0,418.0,Software,15.0,4.0,0
452.0,156.0,194.0,3.0,0.0,365.0,30.0,1.0,418.0,Software,3.0,4.0,0
872.0,357.0,13.0,1.0,0.0,26.0,0.0,1.0,151.0,,22.0,3.0,0
872.0,357.0,6.0,1.0,0.0,20.0,0.0,1.0,151.0,,20.0,6.0,0
872.0,357.0,20.0,0.0,0.0,433.0,30.0,1.0,151.0,,21.0,3.0,0
872.0,357.0,2.0,1.0,0.0,0.0,0.0,1.0,151.0,,7.0,4.0,0
872.0,357.0,7.0,0.0,0.0,285.0,19.0,1.0,151.0,,19.0,4.0,0
872.0,357.0,7.0,1.0,0.0,334.0,26.0,1.0,151.0,,23.0,0.0,0
