followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week
280,3117,36,4,0,780,20,image,79,"Science, Technology & Engineering",15,3
280,3117,43,1,0,412,15,image,79,"Science, Technology & Engineering",18,1
280,3117,64,0,0,403,17,image,79,"Science, Technology & Engineering",13,0
3269,1150,73,9,0,315,5,image,72,Unknown,6,1
3269,1150,125,9,0,394,4,image,72,Unknown,11,1
3269,1150,129,15,0,644,5,image,72,Unknown,8,1
3269,1150,129,21,0,388,6,image,72,Unknown,7,4
3269,1150,156,10,0,424,12,image,72,Unknown,6,4
3269,1150,132,unknown,0,?,15,image,72, technology ,11,3
3269,1150,102,7,0,563,19,image,72,Unknown,13,0
3269,1150,153,11,0,927,23,image,72,Unknown,9,4
3269,1150,186,17,0,585,24,image,72,Unknown,9,0
3269,1150,138,9,0,1079,21,image,72,Unknown,5,1
3269,1150,227,12,0,1114,21,image,72,Unknown,7,1
3269,1150,197,11,0,661,20,image,72,Unknown,9,0
3199,118,117,7,0,544,32,image,169,Other,12,5
3199,118,177,18,1134,359,24,video,169,Other,16,4
3199,118,256,27,0,501,31,image,169,Other,11,0
3199,118,407,31,0,493,30,image,169,Other,13,5
3199,118,209,44,0,430,30,image,169,Other,6,1
3199,118,1013,58,0,729,30,image,169,Other,15,0
unknown,118,?,100,0,718,?,image,169,Tech,N/A,1
3199,118,272,37,0,851,30,image,169,Other,4,6
3199,118,374,29,0,719,32,image,169,Other,22,1
3199,118,211,13,0,639,30,image,169,Other,13,1
3199,118,112,2,291,172,13,video,169,Other,13,1
3199,118,224,5,0,730,30,image,169,Other,12,2
164937,1286,149,0,0,950,27,image,5798,Unknown,6,6
164937,1286,791,116,0,824,28,image,5798,Unknown,14,5
164937,1286,219,6,0,895,25,image,5798,Unknown,9,5
164937,1286,427,4,0,1151,26,image,5798,Unknown,7,5
164937,1286,1974,47,27142,643,27,video,5798,Unknown,6,5
164937,1286,502,13,0,1080,28,image,5798,Unknown,14,4
164937,1286,79,0,0,978,28,image,5798,Unknown,12,4
164937,1286,257,4,2669,471,28,video,5798,Unknown,12,4
164937,1286,430,8,0,1088,24,image,5798,Unknown,10,4
164937,1286,2402,28,20506,1148,26,video,5798,Unknown,9,4
164937,1286,1711,495,0,792,30,image,5798,Unknown,8,4
164937,1286,247,5,0,988,24,image,5798,Unknown,5,4
3227,118,104,0,0,782,30,image,207,"Science, Technology & Engineering",15,5
3227,118,149,1,0,862,30,image,207,"Science, Technology & Engineering",15,3
3227,118,120,0,0,860,30,image,207,"Science, Technology & Engineering",15,2
3227,118,144,1,0,781,30,image,207,"Science, Technology & Engineering",14,0
3227,118,180,1,0,771,30,image,207,"Science, Technology & Engineering",14,6
3227,118,125,2,0,768,30,image,207,"Science, Technology & Engineering",15,4
3227,118,104,1,0,736,30,image,207,"Science, Technology & Engineering",16,1
3227,118,117,2,0,686,30,image,207,"Science, Technology & Engineering",4,1
3227,118,174,0,0,764,30,image,207,"Science, Technology & Engineering",15,0
3227,118,160,1,0,807,30,image,207,"Science, Technology & Engineering",16,3
3227,118,149,4,0,744,30,image,207,"Science, Technology & Engineering",15,2
3227,118,129,1,0,710,30,image,207,"Science, Technology & Engineering",15,0
476,1,3,1,0,375,12,image,209,Unknown,14,2
476,1,1,1,0,333,12,image,209,Unknown,5,2
476,1,4,0,0,349,11,image,209,Unknown,6,1
476,1,2,0,0,1202,26,image,209,Unknown,7,2
476,1,2,0,0,1512,?, video ,209,Unknown,10,1
476,1,1,0,0,2222,30,image,209,Unknown,7,0
476,1,1,0,0,855,26,image,209,Unknown,10,6
476,1,3,0,0,1107,14,image,209,Unknown,3,4
476,1,4,0,0,1512,23,image,209,Unknown,16,3
476,1,0,0,0,2196,26,image,209,Unknown,8,2
476,1,1,0,0,2045,17,image,209,Unknown,11,1
476,1,0,0,0,860,24,image,209,Unknown,8,0
180,218,13,0,43,749,30,video,88,Unknown,11,3
180,218,10,0,0,615,28,image,88,Unknown,13,2
180,218,5,0,0,974,27,image,88,Unknown,15,1
180,218,9,0,0,1076,27,image,88,Unknown,12,2
180,218,10,2,0,855,1,image,88,Unknown,13,0
180,218,9,0,0,578,30,image,88,Unknown,11,0
180,218,6,0,0,631,30,image,88,Unknown,11,3
unknown,218,?,1,0,?,1,image,88,Unknown,N/A,1
180,218,7,0,0,788,29,image,88,Unknown,11,3
180,218,11,3,0,520,22,image,88,Unknown,8,2
180,218,7,0,0,1071,30,image,88,Unknown,14,3
180,218,14,0,0,575,27,image,88,Unknown,14,2
2945,31,18,2,0,119,8,image,352,Unknown,11,2
2945,31,11,0,0,260,6,image,352,Unknown,9,1
2945,31,11,0,0,614,13,image,352,Unknown,12,4
2945,31,13,2,0,240,12,image,352,Unknown,9,2
2945,31,15,3,0,341,14,image,352,Unknown,8,1
2945,31,19,2,0,370,24,image,352,Unknown,6,4
2945,31,9,2,0,324,22,image,352,Unknown,11,3
2945,31,13,0,0,282,14,image,352,Unknown,10,2
2945,31,19,0,0,160,8,image,352,Unknown,7,5
2945,31,19,0,0,345,19,image,352,Unknown,6,3
2945,31,21,0,0,142,7,image,352,Unknown,6,2
2945,31,7,0,0,414,12,image,352,Unknown,11,2
269,359,9,1,0,166,1,image,268,Unknown,12,5
269,359,17,4,0,112,0,image,268,Unknown,19,4
269,359,15,7,0,115,0,image,268,Unknown,6,4
269,359,8,1,0,72,0,image,268, technology ,7,4
269,359,10,0,0,190,16,image,268,Unknown,20,0
269,359,6,0,0,100,9,image,268,Unknown,11,5
269,359,5,1,0,111,4,image,268,Unknown,21,6
