followers,following,likes,video_view_count,caption_length,hashtag_count,media_type,posts_count,post_hour,post_day_of_week,views_per_follower,views_per_hashtag,like_rate,virality_score,target
5731,690,147,1116,939,30,0.0,146,2,6,0.19,37.2,0.02564997382655732,0.12193393597972853,0
1600,1031,76,485,3433,9,1.0,606,11,4,0.3,53.89,0.0475,0.18677900238882372,0
1600,1031,86,549,2013,5,1.0,606,12,3,0.34,109.8,0.05375,0.20855957969270789,0
1600,1031,84,536,1986,8,1.0,606,14,1,0.34,67.0,0.0525,0.20814414937687284,0
1600,1031,111,708,1033,5,1.0,606,14,0,0.44,141.6,0.069375,0.26049405181465335,0
1600,1031,97,619,2375,7,1.0,606,11,4,0.39,88.43,0.060625,0.23464786059491408,0
1600,1031,107,683,1792,5,1.0,606,9,3,0.43,136.6,0.066875,0.2551452238749791,0
1600,1031,86,549,855,5,1.0,606,10,2,0.34,109.8,0.05375,0.20855957969270789,0
1600,1031,87,555,2608,5,1.0,606,11,1,0.35,111.0,0.054375,0.21359984610405325,0
1600,1031,96,613,1538,6,1.0,606,12,0,0.38,102.17,0.06,0.22974839230331517,0
1600,1031,84,536,2914,7,1.0,606,11,3,0.34,76.57,0.0525,0.20814414937687284,0
1600,1031,98,625,1730,12,1.0,606,12,1,0.39,52.08,0.06125,0.23485404616788727,0
1600,1031,83,530,3058,14,1.0,606,13,4,0.33,37.86,0.051875,0.20306731253890725,0
452,156,10,64,436,30,1.0,418,20,6,0.14,2.13,0.022123893805309734,0.09282731950149037,0
452,156,92,587,418,30,1.0,418,16,4,1.3,19.57,0.20353982300884957,0.6062344033661166,0
452,156,10,64,277,30,1.0,418,13,2,0.14,2.13,0.022123893805309734,0.09282731950149037,0
452,156,140,893,277,30,1.0,418,16,1,1.98,29.77,0.30973451327433627,0.8041887046043745,1
528,156,17,108,365,14,0.0,418,2,1,0.2,7.71,0.032196969696969696,0.12960034075101443,0
452,156,13,83,365,30,1.0,418,16,0,0.18,2.77,0.028761061946902654,0.1175087140247165,0
452,156,6,38,505,30,1.0,418,3,0,0.08,1.27,0.01327433628318584,0.054640128237167226,0
452,156,12,77,394,30,1.0,418,15,6,0.17,2.57,0.02654867256637168,0.11122326706419051,0
452,156,19,121,365,30,1.0,418,17,5,0.27,4.03,0.0420353982300885,0.16977255527029025,0
452,156,21,134,321,30,1.0,418,4,5,0.3,4.47,0.046460176991150445,0.18643139493476482,0
452,156,66,868,277,30,0.0,418,15,4,1.92,28.93,0.14601769911504425,0.7442319224316619,1
452,156,194,1238,365,30,1.0,418,3,4,2.74,41.27,0.42920353982300885,0.9823967108098162,1
872,357,13,83,26,0,1.0,151,22,3,0.1,0.0,0.014908256880733946,0.06713099425744362,0
